Date,Location,MinTemp,MaxTemp,Rainfall,Evaporation,Sunshine,WindGustDir,WindGustSpeed,WindDir9am,WindDir3pm,WindSpeed9am,WindSpeed3pm,Humidity9am,Humidity3pm,Pressure9am,Pressure3pm,Cloud9am,Cloud3pm,Temp9am,Temp3pm
2009-12-22,Cobar,22.6,38.4,0,11.4,12.9,NE,41,NE,NW,22,9,39,13,1009.9,1007.4,1,4,27.7,36.7
2009-12-23,Cobar,21.9,39.7,0,12.8,12,NNE,39,N,NE,17,17,44,20,1011.7,1008.8,1,3,29.5,37.6
2009-12-24,Cobar,27.3,39.6,0,17.2,5.1,SSW,57,NNE,N,31,22,36,25,1008.5,1004.5,7,7,31.3,38.7
2009-12-25,Cobar,19.4,24.7,17.2,14.2,0,S,33,E,SE,7,7,97,84,1007.7,1006.9,8,8,20.4,23.1
2009-12-26,Cobar,20.3,25.4,7.2,12.4,3.4,E,31,S,SSE,13,15,69,73,1010.7,1009.7,7,7,21.5,24.4
2009-12-27,Cobar,18.6,29.7,6.6,3.8,5.2,SSW,33,E,SSW,11,9,93,71,1011.9,1009.4,8,7,22,28.1
2009-12-28,Cobar,21.9,32.2,0,3.4,8.1,SE,39,SE,SSW,13,17,89,54,1012.8,1011.2,8,5,23.3,29.7
2009-12-29,Cobar,21.9,33.6,0,7.8,12.9,ESE,41,ESE,SE,13,24,69,39,1016.7,1014.7,1,3,25.1,32.3
2009-12-30,Cobar,22.3,32.3,0,12.2,11.2,ENE,43,E,ENE,19,20,52,42,1017.7,1014.6,5,7,24.8,30.8
2009-12-31,Cobar,21.5,27.2,0,10.6,0.5,NE,46,ENE,NE,22,26,71,50,1014.7,1012.6,7,7,23.5,26.6
